trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",25,0,-17.10826126946412,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",20,0,-133.1353989859554,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
30,False,"{'a': 0.01, 'e': 0.955336489125606}",30,0,-184.05611104527173,"{0: 16, 1: 4, 2: 5, 3: 3, 4: 2}",0
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",20,0,-132.00630995960609,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",20,0,-95.42237130046189,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
33,False,"{'a': 0.01, 'e': 0.946042343528387}",25,0,-92.57684606561072,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",20,0,-55.945101040040626,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",25,0,-87.4689504217089,"{0: 15, 1: 4, 2: 3, 3: 3, 4: 0}",0
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",30,0,-173.44751256850924,"{0: 19, 1: 4, 2: 3, 3: 1, 4: 3}",0
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",20,0,-69.88768825024127,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",30,0,-92.18095825856305,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",25,0,-170.84767155333637,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
40,False,"{'a': 0.01, 'e': 0.9210609940028851}",30,13,-96.00042701800412,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 2}",1
41,False,"{'a': 0.01, 'e': 0.9171208228166051}",25,0,-83.9959689618272,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",20,0,-27.131212346795074,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",20,5,-39.662896566341345,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 0}",1
44,False,"{'a': 0.01, 'e': 0.9047516632199635}",20,0,-86.91766050129496,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",35,0,-136.94391592547038,"{0: 24, 1: 3, 2: 5, 3: 1, 4: 2}",0
46,False,"{'a': 0.01, 'e': 0.8960524975255253}",20,0,-72.41599292742163,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
47,False,"{'a': 0.01, 'e': 0.8915682881953289}",20,0,-55.747648008968326,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
